DateTime,Max/Min,State,Fuel Type,Supply
02/01/2018 04:00,Min,NEM,Battery,0
02/01/2018 04:00,Min,NEM,Biomass,10.233
02/01/2018 04:00,Min,NEM,Black coal,10655.808
02/01/2018 04:00,Min,NEM,Brown coal,4655.597
02/01/2018 04:00,Min,NEM,Distributed PV,0
02/01/2018 04:00,Min,NEM,Gas,1517.622
02/01/2018 04:00,Min,NEM,Hydro,355.826
02/01/2018 04:00,Min,NEM,Liquid Fuel,0.098
02/01/2018 04:00,Min,NEM,Utility-scale Solar,2.204
02/01/2018 04:00,Min,NEM,Wind,566.57
06/01/2018 12:00,Max,NEM,Battery,0.566
06/01/2018 12:00,Max,NEM,Biomass,14.516
06/01/2018 12:00,Max,NEM,Black coal,14111.605
06/01/2018 12:00,Max,NEM,Brown coal,4540.312
06/01/2018 12:00,Max,NEM,Distributed PV,3876.574
06/01/2018 12:00,Max,NEM,Gas,1907.942
06/01/2018 12:00,Max,NEM,Hydro,1888.634
06/01/2018 12:00,Max,NEM,Liquid Fuel,0.021
06/01/2018 12:00,Max,NEM,Utility-scale Solar,267.204
06/01/2018 12:00,Max,NEM,Wind,2864.484
13/02/2018 03:30,Min,NEM,Battery,1.333
13/02/2018 03:30,Min,NEM,Biomass,24.566
13/02/2018 03:30,Min,NEM,Black coal,12074.488
13/02/2018 03:30,Min,NEM,Brown coal,4720.514
13/02/2018 03:30,Min,NEM,Distributed PV,0
13/02/2018 03:30,Min,NEM,Gas,1724.87
13/02/2018 03:30,Min,NEM,Hydro,554.192
13/02/2018 03:30,Min,NEM,Liquid Fuel,0.037
13/02/2018 03:30,Min,NEM,Utility-scale Solar,1.597
13/02/2018 03:30,Min,NEM,Wind,437.997
28/02/2018 12:30,Max,NEM,Battery,0
28/02/2018 12:30,Max,NEM,Biomass,0
28/02/2018 12:30,Max,NEM,Black coal,12779.094
28/02/2018 12:30,Max,NEM,Brown coal,4685.62
28/02/2018 12:30,Max,NEM,Distributed PV,3359.465
28/02/2018 12:30,Max,NEM,Gas,1673.393
28/02/2018 12:30,Max,NEM,Hydro,1438.767
28/02/2018 12:30,Max,NEM,Liquid Fuel,0
28/02/2018 12:30,Max,NEM,Utility-scale Solar,279.652
